document_id,Title,Cleaned Abstract,Sentiment
0,Fashion-MNIST: a Novel Image Dataset for Benchmarking Machine Learning Algorithms,present fashionmnist new dataset compris x grayscal imag fashion product categori imag per categori train set imag test set imag fashionmnist intend serv direct dropin replac origin mnist dataset benchmark machin learn algorithm share imag size data format structur train test split dataset freeli avail http url,Neutral
1,TensorFlow: A system for large-scale machine learning,tensorflow machin learn system oper larg scale heterogen environ tensorflow use dataflow graph repres comput share state oper mutat state map node dataflow graph across mani machin cluster within machin across multipl comput devic includ multicor cpu generalpurpos gpu customdesign asic known tensor process unit tpu architectur give flexibl applic develop wherea previou paramet server design manag share state built system tensorflow enabl develop experi novel optim train algorithm tensorflow support varieti applic focu train infer deep neural network sever googl servic use tensorflow product releas opensourc project becom wide use machin learn research paper describ tensorflow dataflow model demonstr compel perform tensorflow achiev sever realworld applic,Positive
2,TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems,tensorflow interfac express machin learn algorithm implement execut algorithm comput express use tensorflow execut littl chang wide varieti heterogen system rang mobil devic phone tablet largescal distribut system hundr machin thousand comput devic gpu card system flexibl use express wide varieti algorithm includ train infer algorithm deep neural network model use conduct research deploy machin learn system product across dozen area comput scienc field includ speech recognit comput vision robot inform retriev natur languag process geograph inform extract comput drug discoveri paper describ tensorflow interfac implement interfac built googl tensorflow api refer implement releas opensourc packag apach licens novemb avail wwwtensorfloworg,Neutral
3,Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting,goal precipit nowcast predict futur rainfal intens local region rel short period time previou studi examin crucial challeng weather forecast problem machin learn perspect paper formul precipit nowcast spatiotempor sequenc forecast problem input predict target spatiotempor sequenc extend fulli connect lstm fclstm convolut structur inputtost statetost transit propos convolut lstm convlstm use build endtoend trainabl model precipit nowcast problem experi show convlstm network captur spatiotempor correl better consist outperform fclstm stateoftheart oper rover algorithm precipit nowcast,Positive
4,Open Graph Benchmark: Datasets for Machine Learning on Graphs,present open graph benchmark ogb diver set challeng realist benchmark dataset facilit scalabl robust reproduc graph machin learn ml research ogb dataset largescal million node billion edg encompass multipl import graph ml task cover diver rang domain rang social inform network biolog network molecular graph sourc code ast knowledg graph dataset provid unifi evalu protocol use meaning applicationspecif data split evalu metric addit build dataset also perform extens benchmark experi dataset experi suggest ogb dataset present signific challeng scalabl largescal graph outofdistribut gener realist data split indic fruit opportun futur research final ogb provid autom endtoend graph ml pipelin simplifi standard process graph data load experiment setup model evalu ogb regularli updat welcom input commun ogb dataset well data loader evalu script baselin code leaderboard publicli avail http url,Neutral
5,A Survey on Bias and Fairness in Machine Learning,widespread use artifici intellig ai system applic everyday live account fair gain signific import design engin system ai system use mani sensit environ make import lifechang decis thu crucial ensur decis reflect discriminatori behavior toward certain group popul recent work develop tradit machin learn deep learn address challeng differ subdomain commerci system research becom awar bias applic contain attempt address survey investig differ realworld applic shown bias variou way list differ sourc bias affect ai applic creat taxonomi fair definit machin learn research defin avoid exist bia ai system addit examin differ domain subdomain ai show research observ regard unfair outcom stateoftheart method way tri address still mani futur direct solut taken mitig problem bia ai system hope survey motiv research tackl issu near futur observ exist work respect field,Negative
6,Membership Inference Attacks Against Machine Learning Models,quantit investig machin learn model leak inform individu data record train focu basic membership infer attack given data record blackbox access model determin record model train dataset perform membership infer target model make adversari use machin learn train infer model recogn differ target model predict input train versu input train empir evalu infer techniqu classif model train commerci machin learn servic provid googl amazon use realist dataset classif task includ hospit discharg dataset whose membership sensit privaci perspect show model vulner membership infer attack investig factor influenc leakag evalu mitig strategi,Neutral
7,Scikit-learn: Machine Learning in Python,scikitlearn python modul integr wide rang stateoftheart machin learn algorithm mediumscal supervis unsupervis problem packag focus bring machin learn nonspecialist use generalpurpos highlevel languag emphasi put ea use perform document api consist minim depend distribut simplifi bsd licens encourag use academ commerci set sourc code binari document download httpscikitlearnsourceforgenet,Negative
8,"Machine learning: Trends, perspectives, and prospects",machin learn address question build comput improv automat experi one today rapidli grow technic field lie intersect comput scienc statist core artifici intellig data scienc recent progress machin learn driven develop new learn algorithm theori ongo explos avail onlin data lowcost comput adopt dataintens machinelearn method found throughout scienc technolog commerc lead evidencebas decisionmak across mani walk life includ health care manufactur educ financi model polic market,Neutral
9,Towards A Rigorous Science of Interpretable Machine Learning,machin learn system becom ubiquit surg interest interpret machin learn system provid explan output explan often use qualit assess criterion safeti nondiscrimin howev despit interest interpret littl consensu interpret machin learn measur posit paper first defin interpret describ interpret need next suggest taxonomi rigor evalu expo open question toward rigor scienc interpret machin learn,Neutral
